Dates_DOS	Season	Major Events	Date_of_Week	DoW_Nr	WD_WE	Month
2018-12-31	Mid	NE	Mon	2	WD	Dec
2018-12-30	Mid	NE	Sun	1	WD	Dec
2018-12-29	Mid	NE	Sat	7	WE	Dec
2018-12-28	Mid	NE	Fri	6	WE	Dec
2018-12-27	Mid		Thu	5	WE	Dec
2018-12-26	Mid		Wed	4	WD	Dec
2018-12-25	Mid		Tue	3	WD	Dec
2018-12-24	Mid		Mon	2	WD	Dec
2018-12-23	Mid		Sun	1	WD	Dec
2018-12-22	Mid		Sat	7	WE	Dec
2018-12-21	Mid		Fri	6	WE	Dec
2018-12-20	Mid		Thu	5	WE	Dec
2018-12-19	Mid		Wed	4	WD	Dec
2018-12-18	Mid		Tue	3	WD	Dec
2018-12-17	Mid		Mon	2	WD	Dec
2018-12-16	Mid		Sun	1	WD	Dec
2018-12-15	Mid		Sat	7	WE	Dec
2018-12-14	Mid		Fri	6	WE	Dec
2018-12-13	Mid		Thu	5	WE	Dec
2018-12-12	Mid		Wed	4	WD	Dec
2018-12-11	Mid		Tue	3	WD	Dec
2018-12-10	Mid		Mon	2	WD	Dec
2018-12-09	Mid		Sun	1	WD	Dec
2018-12-08	Mid		Sat	7	WE	Dec
2018-12-07	Mid		Fri	6	WE	Dec
2018-12-06	Mid		Thu	5	WE	Dec
2018-12-05	Mid		Wed	4	WD	Dec
2018-12-04	Mid		Tue	3	WD	Dec
2018-12-03	Mid		Mon	2	WD	Dec
2018-12-02	Mid		Sun	1	WD	Dec
2018-12-01	Mid		Sat	7	WE	Dec
2018-11-30	High		Fri	6	WE	Nov
2018-11-29	High	BIG 5	Thu	5	WE	Nov
2018-11-28	High	BIG 5	Wed	4	WD	Nov
2018-11-27	High	BIG 5	Tue	3	WD	Nov
2018-11-26	High	BIG 5	Mon	2	WD	Nov
2018-11-25	High		Sun	1	WD	Nov
2018-11-24	High		Sat	7	WE	Nov
2018-11-23	High		Fri	6	WE	Nov
2018-11-22	High		Thu	5	WE	Nov
2018-11-21	High		Wed	4	WD	Nov
2018-11-20	High		Tue	3	WD	Nov
2018-11-19	High		Mon	2	WD	Nov
2018-11-18	High		Sun	1	WD	Nov
2018-11-17	High		Sat	7	WE	Nov
2018-11-16	High		Fri	6	WE	Nov
2018-11-15	High		Thu	5	WE	Nov
2018-11-14	High		Wed	4	WD	Nov
2018-11-13	High		Tue	3	WD	Nov
2018-11-12	High		Mon	2	WD	Nov
2018-11-11	High		Sun	1	WD	Nov
2018-11-10	High		Sat	7	WE	Nov
2018-11-09	High		Fri	6	WE	Nov
2018-11-08	High	Gulfood	Thu	5	WE	Nov
2018-11-07	High	Gulfood	Wed	4	WD	Nov
2018-11-06	High	Gulfood	Tue	3	WD	Nov
2018-11-05	High		Mon	2	WD	Nov
2018-11-04	High		Sun	1	WD	Nov
2018-11-03	High		Sat	7	WE	Nov
2018-11-02	High		Fri	6	WE	Nov
2018-11-01	High		Thu	5	WE	Nov
2018-10-31	Low		Wed	4	WD	Oct
2018-10-30	Low		Tue	3	WD	Oct
2018-10-29	Low		Mon	2	WD	Oct
2018-10-28	Low		Sun	1	WD	Oct
2018-10-27	Low		Sat	7	WE	Oct
2018-10-26	Low		Fri	6	WE	Oct
