dDBA	Wk_BA	Booking Window
-1	0	Actuals
0	0	0-3 days
1	0	0-3 days
2	0	0-3 days
3	0	0-3 days
4	0	0-3 days
5	0	04-7 days
6	0	04-7 days
7	0	04-7 days
8	0	04-7 days
9	1	08-14 days
10	1	08-14 days
11	1	08-14 days
12	1	08-14 days
13	1	08-14 days
14	1	08-14 days
15	1	08-14 days
16	2	15-21 days
17	2	15-21 days
18	2	15-21 days
19	2	15-21 days
20	2	15-21 days
21	2	15-21 days
22	2	15-21 days
23	3	22-28 days
24	3	22-28 days
25	3	22-28 days
26	3	22-28 days
27	3	22-28 days
28	3	22-28 days
29	3	22-28 days
30	4	29-42 days
31	4	29-42 days
32	4	29-42 days
33	4	29-42 days
34	4	29-42 days
35	4	29-42 days
36	4	29-42 days
37	5	29-42 days
38	5	29-42 days
39	5	29-42 days
40	5	29-42 days
41	5	29-42 days
42	5	29-42 days
43	5	29-42 days
44	6	43-63 days
45	6	43-63 days
46	6	43-63 days
47	6	43-63 days
48	6	43-63 days
49	6	43-63 days
50	6	43-63 days
51	7	43-63 days
52	7	43-63 days
53	7	43-63 days
54	7	43-63 days
55	7	43-63 days
56	7	43-63 days
57	7	43-63 days
58	8	43-63 days
59	8	43-63 days
60	8	43-63 days
61	8	43-63 days
62	8	43-63 days
63	8	43-63 days
64	8	43-63 days
65	9	64-91 days
66	9	64-91 days
67	9	64-91 days
68	9	64-91 days
69	9	64-91 days
70	9	64-91 days
71	9	64-91 days
72	10	64-91 days
73	10	64-91 days
74	10	64-91 days
75	10	64-91 days
76	10	64-91 days
77	10	64-91 days
78	10	64-91 days
79	11	64-91 days
80	11	64-91 days
81	11	64-91 days
82	11	64-91 days
83	11	64-91 days
84	11	64-91 days
85	11	64-91 days
86	12	64-91 days
87	12	64-91 days
88	12	64-91 days
89	12	64-91 days
90	12	64-91 days
91	12	64-91 days
