Date_of_Stay	Bucket	Season
2016-01-01	ABEF	High
2016-01-01	CDGH	High
2016-01-01	IJ	Mid
2016-01-01	KLZ	High
2016-01-01	QRSTY	Mid
2016-01-02	ABEF	High
2016-01-02	CDGH	High
2016-01-02	IJ	Mid
2016-01-02	KLZ	High
2016-01-02	QRSTY	Mid
2016-01-03	ABEF	High
2016-01-03	CDGH	High
2016-01-03	IJ	Mid
2016-01-03	KLZ	High
2016-01-03	QRSTY	Mid
2016-01-04	ABEF	High
2016-01-04	CDGH	High
2016-01-04	IJ	Mid
2016-01-04	KLZ	High
2016-01-04	QRSTY	Mid
2016-01-05	ABEF	High
2016-01-05	CDGH	High
2016-01-05	IJ	Mid
2016-01-05	KLZ	High
2016-01-05	QRSTY	Mid
2016-01-06	ABEF	High
2016-01-06	CDGH	High
2016-01-06	IJ	Mid
2016-01-06	KLZ	High
2016-01-06	QRSTY	Mid
2016-01-07	ABEF	High
2016-01-07	CDGH	High
2016-01-07	IJ	Mid
2016-01-07	KLZ	High
2016-01-07	QRSTY	Mid
2016-01-08	ABEF	High
2016-01-08	CDGH	High
2016-01-08	IJ	Mid
2016-01-08	KLZ	High
2016-01-08	QRSTY	Mid
2016-01-09	ABEF	High
2016-01-09	CDGH	High
2016-01-09	IJ	Mid
2016-01-09	KLZ	High
2016-01-09	QRSTY	Mid
2016-01-10	ABEF	High
2016-01-10	CDGH	High
2016-01-10	IJ	Mid
2016-01-10	KLZ	High
2016-01-10	QRSTY	Mid
2016-01-11	ABEF	High
2016-01-11	CDGH	High
2016-01-11	IJ	Mid
2016-01-11	KLZ	High
2016-01-11	QRSTY	Mid
2016-01-12	ABEF	High
2016-01-12	CDGH	High
2016-01-12	IJ	Mid
2016-01-12	KLZ	High
2016-01-12	QRSTY	Mid
2016-01-13	ABEF	High
2016-01-13	CDGH	High
2016-01-13	IJ	Mid
2016-01-13	KLZ	High
2016-01-13	QRSTY	Mid
2016-01-14	ABEF	High
2016-01-14	CDGH	High
2016-01-14	IJ	Mid
2016-01-14	KLZ	High
2016-01-14	QRSTY	Mid
2016-01-15	ABEF	High
2016-01-15	CDGH	High
2016-01-15	IJ	Mid
2016-01-15	KLZ	High
2016-01-15	QRSTY	Mid
2016-01-16	ABEF	High
2016-01-16	CDGH	High
2016-01-16	IJ	Mid
2016-01-16	KLZ	High
2016-01-16	QRSTY	Mid
2016-01-17	ABEF	High
2016-01-17	CDGH	High
2016-01-17	IJ	Mid
2016-01-17	KLZ	High
2016-01-17	QRSTY	Mid
2016-01-18	ABEF	High
2016-01-18	CDGH	High
2016-01-18	IJ	Mid
2016-01-18	KLZ	High
2016-01-18	QRSTY	Mid
2016-01-19	ABEF	High
2016-01-19	CDGH	High
2016-01-19	IJ	Mid
2016-01-19	KLZ	High
2016-01-19	QRSTY	Mid
2016-01-20	ABEF	High
2016-01-20	CDGH	High
2016-01-20	IJ	Mid
2016-01-20	KLZ	High
2016-01-20	QRSTY	Mid
2016-01-21	ABEF	High
2016-01-21	CDGH	High
2016-01-21	IJ	Mid
2016-01-21	KLZ	High
2016-01-21	QRSTY	Mid
2016-01-22	ABEF	High
2016-01-22	CDGH	High
2016-01-22	IJ	Mid
2016-01-22	KLZ	High
2016-01-22	QRSTY	Mid
2016-01-23	ABEF	High
2016-01-23	CDGH	High
2016-01-23	IJ	Mid
2016-01-23	KLZ	High
2016-01-23	QRSTY	Mid
2016-01-24	ABEF	High
2016-01-24	CDGH	High
2016-01-24	IJ	Mid
2016-01-24	KLZ	High
2016-01-24	QRSTY	Mid
2016-01-25	ABEF	High
2016-01-25	CDGH	High
2016-01-25	IJ	Mid
2016-01-25	KLZ	High
2016-01-25	QRSTY	Mid
2016-01-26	ABEF	High
2016-01-26	CDGH	High
2016-01-26	IJ	Mid
2016-01-26	KLZ	High
2016-01-26	QRSTY	Mid
2016-01-27	ABEF	High
2016-01-27	CDGH	High
2016-01-27	IJ	Mid
2016-01-27	KLZ	High
2016-01-27	QRSTY	Mid
2016-01-28	ABEF	High
2016-01-28	CDGH	High
2016-01-28	IJ	Mid
2016-01-28	KLZ	High
2016-01-28	QRSTY	Mid
2016-01-29	ABEF	High
2016-01-29	CDGH	High
2016-01-29	IJ	Mid
2016-01-29	KLZ	High
2016-01-29	QRSTY	Mid
2016-01-30	ABEF	High
2016-01-30	CDGH	High
2016-01-30	IJ	Mid
2016-01-30	KLZ	High
2016-01-30	QRSTY	Mid
2016-01-31	ABEF	High
2016-01-31	CDGH	High
2016-01-31	IJ	Mid
2016-01-31	KLZ	High
2016-01-31	QRSTY	Mid
2016-02-01	ABEF	High
2016-02-01	CDGH	High
2016-02-01	IJ	High
2016-02-01	KLZ	Mid
2016-02-01	QRSTY	High
2016-02-02	ABEF	High
2016-02-02	CDGH	High
2016-02-02	IJ	High
2016-02-02	KLZ	Mid
2016-02-02	QRSTY	High
2016-02-03	ABEF	High
2016-02-03	CDGH	High
2016-02-03	IJ	High
2016-02-03	KLZ	Mid
2016-02-03	QRSTY	High
2016-02-04	ABEF	High
2016-02-04	CDGH	High
2016-02-04	IJ	High
2016-02-04	KLZ	Mid
2016-02-04	QRSTY	High
2016-02-05	ABEF	High
2016-02-05	CDGH	High
2016-02-05	IJ	High
2016-02-05	KLZ	Mid
2016-02-05	QRSTY	High
2016-02-06	ABEF	High
2016-02-06	CDGH	High
2016-02-06	IJ	High
2016-02-06	KLZ	Mid
2016-02-06	QRSTY	High
2016-02-07	ABEF	High
2016-02-07	CDGH	High
2016-02-07	IJ	High
2016-02-07	KLZ	Mid
2016-02-07	QRSTY	High
2016-02-08	ABEF	High
2016-02-08	CDGH	High
2016-02-08	IJ	High
2016-02-08	KLZ	Mid
2016-02-08	QRSTY	High
2016-02-09	ABEF	High
2016-02-09	CDGH	High
2016-02-09	IJ	High
2016-02-09	KLZ	Mid
2016-02-09	QRSTY	High
2016-02-10	ABEF	High
2016-02-10	CDGH	High
2016-02-10	IJ	High
2016-02-10	KLZ	Mid
2016-02-10	QRSTY	High
2016-02-11	ABEF	High
2016-02-11	CDGH	High
2016-02-11	IJ	High
2016-02-11	KLZ	Mid
2016-02-11	QRSTY	High
2016-02-12	ABEF	High
2016-02-12	CDGH	High
2016-02-12	IJ	High
2016-02-12	KLZ	Mid
2016-02-12	QRSTY	High
2016-02-13	ABEF	High
2016-02-13	CDGH	High
2016-02-13	IJ	High
2016-02-13	KLZ	Mid
2016-02-13	QRSTY	High
2016-02-14	ABEF	High
2016-02-14	CDGH	High
2016-02-14	IJ	High
2016-02-14	KLZ	Mid
2016-02-14	QRSTY	High
2016-02-15	ABEF	High
2016-02-15	CDGH	High
2016-02-15	IJ	High
2016-02-15	KLZ	Mid
2016-02-15	QRSTY	High
2016-02-16	ABEF	High
2016-02-16	CDGH	High
2016-02-16	IJ	High
2016-02-16	KLZ	Mid
2016-02-16	QRSTY	High
2016-02-17	ABEF	High
2016-02-17	CDGH	High
2016-02-17	IJ	High
2016-02-17	KLZ	Mid
2016-02-17	QRSTY	High
2016-02-18	ABEF	High
2016-02-18	CDGH	High
2016-02-18	IJ	High
2016-02-18	KLZ	Mid
2016-02-18	QRSTY	High
2016-02-19	ABEF	High
2016-02-19	CDGH	High
2016-02-19	IJ	High
2016-02-19	KLZ	Mid
2016-02-19	QRSTY	High
2016-02-20	ABEF	High
2016-02-20	CDGH	High
2016-02-20	IJ	High
2016-02-20	KLZ	Mid
2016-02-20	QRSTY	High
2016-02-21	ABEF	High
2016-02-21	CDGH	High
2016-02-21	IJ	High
2016-02-21	KLZ	Mid
2016-02-21	QRSTY	High
2016-02-22	ABEF	High
2016-02-22	CDGH	High
2016-02-22	IJ	High
2016-02-22	KLZ	Mid
2016-02-22	QRSTY	High
2016-02-23	ABEF	High
2016-02-23	CDGH	High
2016-02-23	IJ	High
2016-02-23	KLZ	Mid
2016-02-23	QRSTY	High
2016-02-24	ABEF	High
2016-02-24	CDGH	High
2016-02-24	IJ	High
2016-02-24	KLZ	Mid
2016-02-24	QRSTY	High
2016-02-25	ABEF	High
2016-02-25	CDGH	High
2016-02-25	IJ	High
2016-02-25	KLZ	Mid
2016-02-25	QRSTY	High
2016-02-26	ABEF	High
2016-02-26	CDGH	High
2016-02-26	IJ	High
2016-02-26	KLZ	Mid
2016-02-26	QRSTY	High
2016-02-27	ABEF	High
2016-02-27	CDGH	High
2016-02-27	IJ	High
2016-02-27	KLZ	Mid
2016-02-27	QRSTY	High
2016-02-28	ABEF	High
2016-02-28	CDGH	High
2016-02-28	IJ	High
2016-02-28	KLZ	Mid
2016-02-28	QRSTY	High
2016-02-29	ABEF	High
2016-02-29	CDGH	High
2016-02-29	IJ	High
2016-02-29	KLZ	Mid
2016-02-29	QRSTY	High
2016-03-01	ABEF	High
2016-03-01	CDGH	High
2016-03-01	IJ	High
2016-03-01	KLZ	High
2016-03-01	QRSTY	High
2016-03-02	ABEF	High
2016-03-02	CDGH	High
2016-03-02	IJ	High
2016-03-02	KLZ	High
2016-03-02	QRSTY	High
2016-03-03	ABEF	High
2016-03-03	CDGH	High
2016-03-03	IJ	High
2016-03-03	KLZ	High
2016-03-03	QRSTY	High
2016-03-04	ABEF	High
2016-03-04	CDGH	High
2016-03-04	IJ	High
2016-03-04	KLZ	High
2016-03-04	QRSTY	High
2016-03-05	ABEF	High
2016-03-05	CDGH	High
2016-03-05	IJ	High
2016-03-05	KLZ	High
2016-03-05	QRSTY	High
2016-03-06	ABEF	High
2016-03-06	CDGH	High
2016-03-06	IJ	High
2016-03-06	KLZ	High
2016-03-06	QRSTY	High
2016-03-07	ABEF	High
2016-03-07	CDGH	High
2016-03-07	IJ	High
2016-03-07	KLZ	High
2016-03-07	QRSTY	High
2016-03-08	ABEF	High
2016-03-08	CDGH	High
2016-03-08	IJ	High
2016-03-08	KLZ	High
2016-03-08	QRSTY	High
2016-03-09	ABEF	High
2016-03-09	CDGH	High
2016-03-09	IJ	High
2016-03-09	KLZ	High
2016-03-09	QRSTY	High
2016-03-10	ABEF	High
2016-03-10	CDGH	High
2016-03-10	IJ	High
2016-03-10	KLZ	High
2016-03-10	QRSTY	High
2016-03-11	ABEF	High
2016-03-11	CDGH	High
2016-03-11	IJ	High
2016-03-11	KLZ	High
2016-03-11	QRSTY	High
2016-03-12	ABEF	High
2016-03-12	CDGH	High
2016-03-12	IJ	High
2016-03-12	KLZ	High
2016-03-12	QRSTY	High
2016-03-13	ABEF	High
2016-03-13	CDGH	High
2016-03-13	IJ	High
2016-03-13	KLZ	High
2016-03-13	QRSTY	High
2016-03-14	ABEF	High
2016-03-14	CDGH	High
2016-03-14	IJ	High
2016-03-14	KLZ	High
2016-03-14	QRSTY	High
2016-03-15	ABEF	High
2016-03-15	CDGH	High
2016-03-15	IJ	High
2016-03-15	KLZ	High
2016-03-15	QRSTY	High
2016-03-16	ABEF	High
2016-03-16	CDGH	High
2016-03-16	IJ	High
2016-03-16	KLZ	High
2016-03-16	QRSTY	High
2016-03-17	ABEF	High
2016-03-17	CDGH	High
2016-03-17	IJ	High
2016-03-17	KLZ	High
2016-03-17	QRSTY	High
2016-03-18	ABEF	High
2016-03-18	CDGH	High
2016-03-18	IJ	High
2016-03-18	KLZ	High
2016-03-18	QRSTY	High
2016-03-19	ABEF	High
2016-03-19	CDGH	High
2016-03-19	IJ	High
2016-03-19	KLZ	High
2016-03-19	QRSTY	High
2016-03-20	ABEF	High
2016-03-20	CDGH	High
2016-03-20	IJ	High
2016-03-20	KLZ	High
2016-03-20	QRSTY	High
2016-03-21	ABEF	High
2016-03-21	CDGH	High
2016-03-21	IJ	High
2016-03-21	KLZ	High
2016-03-21	QRSTY	High
2016-03-22	ABEF	High
2016-03-22	CDGH	High
2016-03-22	IJ	High
2016-03-22	KLZ	High
2016-03-22	QRSTY	High
2016-03-23	ABEF	High
2016-03-23	CDGH	High
2016-03-23	IJ	High
2016-03-23	KLZ	High
2016-03-23	QRSTY	High
2016-03-24	ABEF	High
2016-03-24	CDGH	High
2016-03-24	IJ	High
2016-03-24	KLZ	High
2016-03-24	QRSTY	High
2016-03-25	ABEF	High
2016-03-25	CDGH	High
2016-03-25	IJ	High
2016-03-25	KLZ	High
2016-03-25	QRSTY	High
2016-03-26	ABEF	High
2016-03-26	CDGH	High
2016-03-26	IJ	High
2016-03-26	KLZ	High
2016-03-26	QRSTY	High
2016-03-27	ABEF	High
2016-03-27	CDGH	High
2016-03-27	IJ	High
2016-03-27	KLZ	High
2016-03-27	QRSTY	High
2016-03-28	ABEF	High
2016-03-28	CDGH	High
2016-03-28	IJ	High
2016-03-28	KLZ	High
2016-03-28	QRSTY	High
2016-03-29	ABEF	High
2016-03-29	CDGH	High
2016-03-29	IJ	High
2016-03-29	KLZ	High
2016-03-29	QRSTY	High
2016-03-30	ABEF	High
2016-03-30	CDGH	High
2016-03-30	IJ	High
2016-03-30	KLZ	High
2016-03-30	QRSTY	High
2016-03-31	ABEF	High
2016-03-31	CDGH	High
2016-03-31	IJ	High
2016-03-31	KLZ	High
2016-03-31	QRSTY	High
2016-04-01	ABEF	High
2016-04-01	CDGH	High
2016-04-01	IJ	High
2016-04-01	KLZ	High
2016-04-01	QRSTY	Mid
2016-04-02	ABEF	High
2016-04-02	CDGH	High
2016-04-02	IJ	High
2016-04-02	KLZ	High
2016-04-02	QRSTY	Mid
2016-04-03	ABEF	High
2016-04-03	CDGH	High
2016-04-03	IJ	High
2016-04-03	KLZ	High
2016-04-03	QRSTY	Mid
2016-04-04	ABEF	High
2016-04-04	CDGH	High
2016-04-04	IJ	High
2016-04-04	KLZ	High
2016-04-04	QRSTY	Mid
2016-04-05	ABEF	High
2016-04-05	CDGH	High
2016-04-05	IJ	High
2016-04-05	KLZ	High
2016-04-05	QRSTY	Mid
2016-04-06	ABEF	High
2016-04-06	CDGH	High
2016-04-06	IJ	High
2016-04-06	KLZ	High
2016-04-06	QRSTY	Mid
2016-04-07	ABEF	High
2016-04-07	CDGH	High
2016-04-07	IJ	High
2016-04-07	KLZ	High
2016-04-07	QRSTY	Mid
2016-04-08	ABEF	High
2016-04-08	CDGH	High
2016-04-08	IJ	High
2016-04-08	KLZ	High
2016-04-08	QRSTY	Mid
2016-04-09	ABEF	High
2016-04-09	CDGH	High
2016-04-09	IJ	High
2016-04-09	KLZ	High
2016-04-09	QRSTY	Mid
2016-04-10	ABEF	High
2016-04-10	CDGH	High
2016-04-10	IJ	High
2016-04-10	KLZ	High
2016-04-10	QRSTY	Mid
2016-04-11	ABEF	High
2016-04-11	CDGH	High
2016-04-11	IJ	High
2016-04-11	KLZ	High
2016-04-11	QRSTY	Mid
2016-04-12	ABEF	High
2016-04-12	CDGH	High
2016-04-12	IJ	High
2016-04-12	KLZ	High
2016-04-12	QRSTY	Mid
2016-04-13	ABEF	High
2016-04-13	CDGH	High
2016-04-13	IJ	High
2016-04-13	KLZ	High
2016-04-13	QRSTY	Mid
2016-04-14	ABEF	High
2016-04-14	CDGH	High
2016-04-14	IJ	High
2016-04-14	KLZ	High
2016-04-14	QRSTY	Mid
2016-04-15	ABEF	High
2016-04-15	CDGH	High
2016-04-15	IJ	High
2016-04-15	KLZ	High
2016-04-15	QRSTY	Mid
2016-04-16	ABEF	High
2016-04-16	CDGH	High
2016-04-16	IJ	High
2016-04-16	KLZ	High
2016-04-16	QRSTY	Mid
2016-04-17	ABEF	High
2016-04-17	CDGH	High
2016-04-17	IJ	High
2016-04-17	KLZ	High
